Zona_Num_N;y_coord;x_coord
72;4.730028601;-74.03632988
73;4.72527897;-74.03677307
74;4.722495308;-74.03688215
75;4.719608961;-74.03650387
76;4.716524676;-74.03807292
77;4.726719551;-74.02875497
78;4.723219315;-74.02926169
79;4.721474244;-74.02961971
80;4.719505008;-74.03022609
81;4.71771168;-74.03064676
82;4.714552402;-74.03085259
83;4.720698222;-74.02459819
84;4.719300688;-74.02207734
85;4.708727349;-74.02693818
86;4.707333152;-74.03075282
87;4.709722016;-74.04094493
88;4.712211725;-74.0504494
89;4.713462106;-74.05601204
90;4.719166209;-74.05912746
91;4.711635957;-74.06179179
92;4.71377886;-74.06677069
93;4.722023479;-74.06349433
94;4.723689408;-74.06957368
95;4.715930472;-74.07171973
96;4.712771419;-74.07560366
97;4.72148135;-74.07860506
98;4.728138119;-74.08142037
99;4.731208022;-74.08404819
100;4.7255924;-74.08680081
101;4.720133976;-74.08699058
102;4.714680926;-74.08579814
103;4.720983823;-74.09421867
104;4.724671796;-74.09889283
105;4.730192096;-74.09300336
106;4.734792549;-74.09253665
107;4.737779936;-74.09317986
108;4.741836629;-74.09341516
109;4.742244314;-74.10105076
110;4.747060329;-74.10276312
111;4.74089213;-74.10499258
112;4.731483985;-74.10190396
113;4.732080999;-74.10748554
114;4.737993635;-74.11119749
115;4.742378704;-74.11734879
116;4.746317937;-74.11744862
117;4.745813117;-74.12572368
118;4.740484494;-74.12806936
119;4.727344796;-74.11712125
120;4.714326336;-74.10948607
121;4.717675797;-74.10335669
122;4.713807223;-74.10220908
123;4.710266697;-74.10338694
124;4.708159395;-74.10218502
125;4.709092816;-74.097793
126;4.715893426;-74.09281637
127;4.706462398;-74.08685799
128;4.707833362;-74.09199636
129;4.704848051;-74.09644575
130;4.700816613;-74.09433574
131;4.700228562;-74.08975078
132;4.709260871;-74.08254176
133;4.706179211;-74.07591922
134;4.69960136;-74.07749053
135;4.69540075;-74.07772057
136;4.691465565;-74.07427918
137;4.691556073;-74.06829707
138;4.69577847;-74.06605372
139;4.706664387;-74.06836366
140;4.705616299;-74.05979624
141;4.698589344;-74.06054859
142;4.693073243;-74.06189455
143;4.691904133;-74.05870641
144;4.689715395;-74.05410197
145;4.696066788;-74.05302983
146;4.702581956;-74.05195607
147;4.699669182;-74.03790915
148;4.692474363;-74.04066783
149;4.687865157;-74.045574
150;4.685440497;-74.04496804
151;4.684089008;-74.04014319
152;4.689216038;-74.03687541
153;4.699263435;-74.03146586
154;4.701408534;-74.02586326
155;4.692348186;-74.02866044
156;4.686599352;-74.0285727
157;4.68179283;-74.02819239
158;4.680957382;-74.03503174
159;4.673011388;-74.01813376
160;4.665611129;-74.01663132
161;4.669055786;-74.02459887
162;4.6701327;-74.03790209
163;4.671385136;-74.05728738
164;4.675792314;-74.05596171
165;4.678716969;-74.05406252
166;4.681868187;-74.05093133
167;4.683130399;-74.06118279
168;4.672783887;-74.0621486
169;4.676632173;-74.06495297
170;4.680269982;-74.07215939
171;4.682900449;-74.06571168
172;4.686180019;-74.07039744
173;4.67523187;-74.07268344
174;4.676147332;-74.07725336
175;4.679436474;-74.08051153
176;4.683070359;-74.08433831
177;4.687035265;-74.07994303
178;4.692430396;-74.0839685
179;4.686878327;-74.0871442
180;4.68982861;-74.09036313
181;4.692484112;-74.09429546
182;4.693895428;-74.09930963
183;4.696881707;-74.10278818
184;4.698758242;-74.09825618
185;4.703250711;-74.10633267
186;4.700451187;-74.10860304
187;4.706297791;-74.11627888
188;4.710985735;-74.11791424
189;4.712680391;-74.12032715
190;4.707617425;-74.12540935
191;4.714922279;-74.12550085
192;4.720770903;-74.12415097
193;4.7215868;-74.14087264
194;4.715355701;-74.1385754
195;4.709475745;-74.13968772
196;4.704969106;-74.13115335
197;4.698498562;-74.1249334
198;4.699692046;-74.11929053
199;4.69755899;-74.11027391
200;4.694100713;-74.11240202
201;4.689197572;-74.11451973
202;4.691882264;-74.10530391
203;4.688394637;-74.10350949
204;4.683302248;-74.10851465
205;4.678133152;-74.10495517
206;4.681303751;-74.1026833
207;4.685816752;-74.09933163
208;4.683984862;-74.09435949
209;4.680939653;-74.09645375
210;4.677425213;-74.09901016
211;4.673693589;-74.1015186
212;4.673013026;-74.09673952
213;4.670441665;-74.09328382
214;4.666504931;-74.08868357
215;4.672677956;-74.08519546
216;4.674392225;-74.08166114
217;4.669515856;-74.07774055
218;4.665259319;-74.08136804
219;4.658433402;-74.08353069
220;4.654528745;-74.0788739
221;4.662363493;-74.07828231
222;4.669912294;-74.07434813
223;4.670831862;-74.06750215
224;4.66727111;-74.06361706
225;4.668372269;-74.07088218
226;4.664824136;-74.07368215
227;4.659512839;-74.07521016
228;4.654064679;-74.0763891
229;4.653356997;-74.07344122
230;4.657385212;-74.07111002
231;4.662416895;-74.07038791
232;4.665108328;-74.06842968
233;4.666903949;-74.06734869
234;4.663068518;-74.06375177
235;4.659585844;-74.06640502
236;4.655425636;-74.06767904
237;4.652998285;-74.07107811
238;4.652134129;-74.06882078
239;4.652722795;-74.06549617
240;4.657382267;-74.06347485
241;4.665914363;-74.05870527
